Name,Orion filepath,H&E GT450 filepath,Mask filepath,Quantification table
CRC25,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round3\P37_S62_Full_A24_C59nX_E15@20220224_011204_784145.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C25$US$SCAN$OR$001 _154712-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round3\P37_S62-CRC25\segmentation\P37_S62_Full_A24_C59nX_E15@20220224_011204_784145\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S62-CRC25\quantification\P37_S62_Full_A24_C59nX_E15@20220224_011204_784145_cellRingMask.csv
CRC26,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round3\P37_S63_Full_A24_C59nX_E15@20220224_011246_458738.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C26$US$SCAN$OR$001 _092131-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round3\P37_S63-CRC26\segmentation\P37_S63_Full_A24_C59nX_E15@20220224_011246_458738\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S63-CRC26\quantification\P37_S63_Full_A24_C59nX_E15@20220224_011246_458738_cellRingMask.csv
CRC27,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round3\P37_S64_Full_A24_C59nX_E15@20220224_011259_841605.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C27$US$SCAN$OR$001 _155205-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round3\P37_S64-CRC27\segmentation\P37_S64_Full_A24_C59nX_E15@20220224_011259_841605\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S64-CRC27\quantification\P37_S64_Full_A24_C59nX_E15@20220224_011259_841605_cellRingMask.csv
CRC28,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round3\P37_S65_Full_A24_C59nX_E15@20220224_011333_386280.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C28$US$SCAN$OR$001 _155413-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round3\P37_S65-CRC28\segmentation\P37_S65_Full_A24_C59nX_E15@20220224_011333_386280\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S65-CRC28\quantification\P37_S65_Full_A24_C59nX_E15@20220224_011333_386280_cellRingMask.csv
CRC29,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round3\P37_S66_Full_A24_C59nX_E15@20220224_011348_519133.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C29$US$SCAN$OR$001 _155859-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round3\P37_S66-CRC29\segmentation\P37_S66_Full_A24_C59nX_E15@20220224_011348_519133\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S66-CRC29\quantification\P37_S66_Full_A24_C59nX_E15@20220224_011348_519133_cellRingMask.csv
CRC30,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round3\P37_S67_Full_A24_C59nX_E15@20220224_011408_506939.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C30$US$SCAN$OR$001 _155702-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round3\P37_S67-CRC30\segmentation\P37_S67_Full_A24_C59nX_E15@20220224_011408_506939\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S67-CRC30\quantification\P37_S67_Full_A24_C59nX_E15@20220224_011408_506939_cellRingMask.csv
CRC31,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round4\P37_S74_Full_A24_C59qX_E15@20220302_234837_137590.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C31$US$SCAN$OR$001 _160203-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round4\P37_S74-CRC31\segmentation\P37_S74_Full_A24_C59qX_E15@20220302_234837_137590\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S74-CRC31\quantification\P37_S74_Full_A24_C59qX_E15@20220302_234837_137590_cellRingMask.csv
CRC32,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round4\P37_S75_Full_A24_C59qX_E15@20220302_235001_586560.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C32$US$SCAN$OR$001 _160434-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round4\P37_S75-CRC32\segmentation\P37_S75_Full_A24_C59qX_E15@20220302_235001_586560\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S75-CRC32\quantification\P37_S75_Full_A24_C59qX_E15@20220302_235001_586560_cellRingMask.csv
CRC33_01,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round4\P37_S76_01_A24_C59qX_E15@20220302_235136_561323.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C33$US$SCAN$OR$001 _160715-2-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round4\P37_S76_01-CRC33_01\segmentation\P37_S76_01_A24_C59qX_E15@20220302_235136_561323\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S76_01-CRC33_01\quantification\P37_S76_01_A24_C59qX_E15@20220302_235136_561323_cellRingMask.csv
CRC33_02,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round4\P37_S76_02_A24_C59qX_E15@20220302_235158_533766.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C33$US$SCAN$OR$001 _160715-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round4\P37_S76_02-CRC33_02\segmentation\P37_S76_02_A24_C59qX_E15@20220302_235158_533766\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S76_02-CRC33_02\quantification\P37_S76_02_A24_C59qX_E15@20220302_235158_533766_cellRingMask.csv
CRC34,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round4\P37_S77_Full_A24_C59qX_E15@20220302_235222_359806.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C34$US$SCAN$OR$001 _160949-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round4\P37_S77-CRC34\segmentation\P37_S77_Full_A24_C59qX_E15@20220302_235222_359806\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S77-CRC34\quantification\P37_S77_Full_A24_C59qX_E15@20220302_235222_359806_cellRingMask.csv
CRC35,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round4\P37_S78_Full_A24_C59qX_E15@20220302_235239_498836.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C35$US$SCAN$OR$001 _161209-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round4\P37_S78-CRC35\segmentation\P37_S78_Full_A24_C59qX_E15@20220302_235239_498836\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S78-CRC35\quantification\P37_S78_Full_A24_C59qX_E15@20220302_235239_498836_cellRingMask.csv
